@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
3,3,40464080,1,40464080,-1547699361,-1547699361,390,15,-1547699361,276,0,0,1,3344016,78692
1,1,-1547699361,1,-1547699361,40464080,-1547699361,391,15,-1547699361,277,598,739,1,3344016,78751
4,2,-1547699361,3,-1547699361,-1547699361,-1547699361,395,15,-1547699361,280,4066,3419,1,3344016,78813
4,1,-1547699361,4,-1547699361,-1547699361,-1547699361,399,15,-1547699361,284,9456,6754,1,3344016,78874
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,404,15,-1547699361,289,27370,14184,1,3344016,79191
6,2,-1547699361,5,-684269794,-1547699361,1156888975,418,15,-1547699361,295,363693,437165,1,3344016,79496
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,420,15,-1547699361,297,37195,28013,1,3344016,79559
0,0,63,0,-1547699361,-1547699361,-1547699361,420,15,-1547699361,297,40554,88125,1,3344016,79620
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,422,15,-1547699361,299,15907,13549,1,3344016,79682
3,1,1245639141,3,1245639141,1245639141,1245639141,425,15,-1547699361,299,111842,100796,1,3344016,79743
1,1,714499313,1,714499313,1245639141,714499313,426,15,-1547699361,299,5412485,222850,1,3344016,79806
0,0,63,0,714499313,1245639141,714499313,426,15,-1547699361,299,134155,21146,1,3344016,79868
0,0,63,0,714499313,1245639141,714499313,426,15,-1547699361,299,332207,16360,1,3344016,79930
0,0,63,0,714499313,1245639141,714499313,426,15,-1547699361,299,498705,25684,1,3344016,79993
0,0,63,0,714499313,1245639141,714499313,426,15,-1547699361,299,570042,23221,1,3344016,80055
2,2,714499313,1,1245639141,714499313,1245639141,428,15,-1547699361,299,370689,220177,1,3344016,80118
5,2,-1547699361,3,-1547699361,-1547699361,-1547699361,433,15,-1547699361,302,36852,30745,1,3344016,80180
0,0,63,0,-1547699361,-1547699361,-1547699361,435,15,-1547699361,304,125980,30292,1,3344016,80396
0,0,63,0,-1547699361,-1547699361,-1547699361,435,15,-1547699361,304,29685,72840,1,3344016,80458
0,0,63,0,-1547699361,-1547699361,-1547699361,435,15,-1547699361,304,2534,1946,1,3344016,80519
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,436,15,-1547699361,305,4477,3844,1,3344016,80581
0,0,63,0,1245639141,1245639141,1245639141,438,15,-1547699361,305,93485,89789,1,3344016,80692
6,3,-1547699361,2,1245639141,1245639141,1245639141,446,15,-1547699361,307,286724,264304,1,3344016,80952
3,2,-1547699361,2,1245639141,-1547699361,1245639141,449,15,-1547699361,309,103825,43241,1,3344016,81013
5,2,1245639141,3,-1547699361,-1547699361,-1547699361,454,15,-1547699361,311,43636,109596,1,3344016,81075
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,456,15,-1547699361,313,64498,28005,1,3344016,81136
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,457,15,-1547699361,314,142571,294232,1,3344016,81816
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,460,15,-1547699361,317,3070,3769,1,3344016,81878
3,2,-1547699361,2,1245639141,-1547699361,1245639141,463,15,-1547699361,319,563647,138925,1,3344016,81939
0,0,63,0,1245639141,-1547699361,1245639141,463,15,-1547699361,319,285373,59025,1,3344016,81996
0,0,63,0,1245639141,-1547699361,1245639141,463,15,-1547699361,319,2148,1741,1,3344016,82065
0,0,63,0,1245639141,-1547699361,1245639141,463,15,-1547699361,319,2835,5133,1,3344016,82127
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,465,15,-1547699361,321,17070,11497,1,3344016,82771
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,467,15,-1547699361,323,4295,4372,1,3344016,82833
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,468,15,-1547699361,324,6145,8398,1,3344016,82908
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,469,15,-1547699361,325,3049,3167,1,3344016,82970
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,470,15,-1547699361,326,45549,86528,1,3344016,83618
3,2,-1547699361,2,1245639141,-1547699361,1245639141,473,15,-1547699361,328,89382,85565,1,3344016,83679
3,2,-1547699361,2,1245639141,-1547699361,1245639141,476,15,-1547699361,330,15827,25414,1,3344016,83741
1,1,-1547699361,1,-1547699361,1245639141,-1547699361,473,15,-1547699361,327,14101,16710,1,3344016,83802
2,2,-1547699361,1,1245639141,-1547699361,1245639141,474,15,-1547699361,327,28487,22489,1,3344016,83870
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,476,15,-1547699361,329,7875,4155,1,3344016,83982
0,0,63,0,-1547699361,-1547699361,-1547699361,476,15,-1547699361,329,2710,4884,1,3344016,84039
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,478,15,-1547699361,331,8652,4243,1,3344016,84327
0,0,63,0,-1547699361,-1547699361,-1547699361,478,15,-1547699361,331,9496,8231,1,3344016,84388
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,481,15,-1547699361,334,8380,3576,1,3344016,84450
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,482,15,-1547699361,335,7812,6245,1,3344016,84511
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,484,15,-1547699361,337,70328,7606,1,3344016,84573
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,485,15,-1547699361,338,6000,5414,1,3344016,84634
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,487,15,-1547699361,340,3559,3013,1,3344016,84696
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,488,15,-1547699361,341,4783,4877,1,3344016,84757
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,490,15,-1547699361,343,31136,17091,1,3344016,84896
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,491,15,-1547699361,344,4845,3666,1,3344016,84958
0,0,63,0,1245639141,1245639141,1245639141,486,15,-1547699361,337,151244,223329,1,3344016,85196
0,0,63,0,1245639141,1245639141,1245639141,482,15,-1547699361,333,20315,24380,1,3344016,85316
0,0,63,0,-1547699361,-1547699361,-1547699361,475,15,-1547699361,330,7831,9562,1,3344016,85552
0,0,63,0,-1547699361,-1547699361,-1547699361,476,15,-1547699361,331,15883,47730,1,3344016,85792
0,0,63,0,-1547699361,-1547699361,-1547699361,483,15,-1547699361,337,28171,17281,1,3344016,86092
2,1,1245639141,2,1245639141,1245639141,1245639141,488,15,-1547699361,337,328625,263169,1,3344016,86396
0,0,63,0,1245639141,1245639141,1245639141,488,15,-1547699361,337,13513,32035,1,3355393,58
0,0,63,0,-1547699361,-1547699361,-1547699361,489,15,-1547699361,337,23610,18175,1,3355393,296
0,0,63,0,-1547699361,-1547699361,-1547699361,489,15,-1547699361,337,4029,5114,1,3355393,358
0,0,63,0,-1547699361,-1547699361,-1547699361,489,15,-1547699361,337,4029,1532,1,3355393,420
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,490,15,-1547699361,338,1305,1384,1,3355393,482
0,0,63,0,-1547699361,-1547699361,-1547699361,491,15,-1547699361,339,1249,1486,1,3355393,588
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,492,15,-1547699361,340,1405,1421,1,3355393,721
0,0,63,0,-1547699361,-1547699361,-1547699361,493,15,-1547699361,341,2482,2007,1,3355393,953
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,489,15,-1547699361,337,3780,2063,1,3355393,1196
4,2,1245639141,3,1245639141,1245639141,1245639141,489,15,-1547699361,335,188326,310071,1,3355393,1258
0,0,63,0,1245639141,1245639141,1245639141,485,15,-1547699361,331,19939,37683,1,3355393,1404
1,1,-1547699361,1,-1547699361,1245639141,-1547699361,486,15,-1547699361,332,4430,6367,1,3355393,1489
2,2,640747243,1,-1547699361,640747243,-1547699361,487,15,-1547699361,332,290498,53440,1,3355393,1550
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,487,15,-1547699361,332,1302,1204,1,3355393,1617
1,1,1245639141,1,1245639141,-1547699361,1245639141,487,15,-1547699361,331,94109,122840,1,3355393,1707
0,0,63,0,1245639141,1245639141,1245639141,486,15,-1547699361,329,31576,23425,1,3355393,1791
0,0,63,0,-1547699361,-1547699361,-1547699361,488,15,-1547699361,331,41556,21185,1,3355393,2490
