@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
10,4,-1802756527,3,-1547699361,-1802756527,-1547699361,384,20,-1802756527,131,0,0,1,3344016,51711
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,387,20,-1802756527,131,45194,6229,1,3344016,51773
2,2,-1547699361,1,-1802756527,-1547699361,-1802756527,389,20,-1802756527,132,17506,8151,1,3344016,51851
2,2,-1802756527,1,-2075712516,-1802756527,-1802756527,391,20,-1802756527,133,429147,85421,1,3344016,51914
0,0,63,0,-2075712516,-1802756527,-1802756527,391,20,-1802756527,133,10492,13936,1,3344016,51974
0,0,63,0,-2075712516,-1802756527,-1802756527,391,20,-1802756527,133,13393,21830,1,3344016,52036
0,0,63,0,-2075712516,-1802756527,-1802756527,391,20,-1802756527,133,21776,55801,1,3344016,52097
5,4,-1547699361,2,-2075712516,-1802756527,-1802756527,396,20,-1802756527,134,10595519,256374,1,3344016,52158
0,0,63,0,-2075712516,-1802756527,-1802756527,396,20,-1802756527,134,24347803,113642,1,3344016,52219
0,0,63,0,-2075712516,-1802756527,-1802756527,396,20,-1802756527,134,4616402,49992,1,3344016,52281
3,3,-1547699361,1,-1547699361,-1802756527,-1547699361,399,20,-1802756527,135,14919110,102185,1,3344016,52472
3,3,-1547699361,1,-662003450,-1802756527,-1802756527,402,20,-1802756527,136,7339755,270551,1,3344016,52533
3,3,-1802756527,1,-2075712516,-1802756527,-1802756527,405,20,-1802756527,137,6641339,349187,1,3344016,52715
0,0,63,0,-2075712516,-1802756527,-1802756527,405,20,-1802756527,137,47577,28600,1,3344016,52776
0,0,63,0,-2075712516,-1802756527,-1802756527,405,20,-1802756527,137,9805,13834,1,3344016,52837
0,0,63,0,-2075712516,-1802756527,-1802756527,405,20,-1802756527,137,19468,23805,1,3344016,52899
0,0,63,0,-2075712516,-1802756527,-1802756527,405,20,-1802756527,137,15374,19274,1,3344016,52960
0,0,63,0,-2075712516,-1802756527,-1802756527,403,20,-1802756527,136,10819,13600,1,3344016,53021
4,3,-1802756527,2,-1802756527,-684269794,-1802756527,403,20,-1802756527,135,87943,83306,1,3344016,54024
5,2,-1547699361,3,-1802756527,-1547699361,-1802756527,406,20,-1802756527,136,106973,18553,1,3344016,54765
2,2,-1802756527,1,-662003450,-1802756527,-1802756527,401,20,-1802756527,136,6124072,261863,1,3344016,55720
0,0,63,0,-1802756527,-662003450,-1802756527,402,20,-1802756527,137,1395426,50347,1,3344016,55827
2,2,-1802756527,1,-662003450,-1802756527,-1802756527,404,20,-1802756527,138,1563283,74292,1,3344016,55906
0,0,63,0,-662003450,-1802756527,-1802756527,404,20,-1802756527,138,3846964,210103,1,3344016,55967
0,0,63,0,-662003450,-1802756527,-1802756527,404,20,-1802756527,138,6211499,263006,1,3344016,56028
3,2,-1802756527,2,-1802756527,-662003450,-1802756527,407,20,-1802756527,140,4228772,194650,1,3344016,56089
5,3,-1547699361,2,-1802756527,-1547699361,-1802756527,410,20,-1802756527,141,10730,17731,1,3344016,56136
2,2,256457446,1,256457446,-1802756527,-1802756527,400,20,-1802756527,139,73614,31442,1,3344016,56896
4,3,-1547699361,2,-1547699361,-1547699361,-1547699361,381,20,-1802756527,133,1080360,148990,1,3344016,57709
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,378,20,-1802756527,133,7257,7843,1,3344016,57758
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,371,20,-1802756527,132,7467,6352,1,3344016,58060
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,370,20,-1802756527,130,85941,9110,1,3344016,58155
4,3,-1547699361,2,-662003450,-1802756527,-1802756527,374,20,-1802756527,131,1515269,105876,1,3344016,59624
1,1,-1547699361,1,-1547699361,-662003450,-1547699361,375,20,-1802756527,131,2239801,188464,1,3344016,59685
3,3,-1547699361,1,-2075712516,-1802756527,-1802756527,378,20,-1802756527,132,1817773,138498,1,3344016,59754
0,0,63,0,-2075712516,-1802756527,-1802756527,378,20,-1802756527,132,400678,21613,1,3344016,59816
0,0,63,0,-2075712516,-1802756527,-1802756527,378,20,-1802756527,132,12217380,276661,1,3344016,59877
0,0,63,0,-2075712516,-1802756527,-1802756527,378,20,-1802756527,132,39518,26512,1,3344016,59938
1,1,-1802756527,1,-1802756527,-2075712516,-1802756527,379,20,-1802756527,133,75604,45364,1,3344016,59999
3,3,-612834190,1,-2075712516,-612834190,-1802756527,382,21,-1802756527,134,296263,85969,1,3344016,60070
0,0,63,0,-2075712516,-612834190,-1802756527,382,21,-1802756527,134,13468460,213357,1,3344016,60131
2,2,-1802756527,1,-415995561,-1802756527,-1802756527,384,21,-1802756527,135,1453071,216313,1,3344016,60192
0,0,63,0,-415995561,-1802756527,-1802756527,384,21,-1802756527,135,1433561,70318,1,3344016,60253
0,0,63,0,-415995561,-1802756527,-1802756527,384,21,-1802756527,135,9059,9671,1,3344016,60314
0,0,63,0,-415995561,-1802756527,-1802756527,384,21,-1802756527,135,10298,11095,1,3344016,60375
2,2,-1547699361,1,-1547699361,-1802756527,-1547699361,386,21,-1802756527,136,27170,5036,1,3344016,60437
3,3,-1547699361,1,-662003450,-1802756527,-1802756527,376,21,-1802756527,136,601396,63771,1,3344016,61221
1,1,-662003450,1,-662003450,-662003450,-1802756527,347,20,-1802756527,132,4562585,213227,1,3344016,62009
1,1,-662003450,1,-662003450,-662003450,-1802756527,343,20,-1802756527,130,8073264,302313,1,3344016,62241
0,0,63,0,-662003450,-662003450,-1802756527,342,20,-1802756527,129,18034782,495518,1,3344016,62302
1,1,-1802756527,1,-1802756527,-662003450,-1802756527,343,20,-1802756527,130,30467448,920210,1,3344016,62363
0,0,63,0,-611311571,-1802756527,-1802756527,343,20,-1802756527,129,355355,151006,1,3344016,62500
